Drug,Cell,Label
Nilotinib,22RV1_PROSTATE,Resistance
Nilotinib,5637_URINARY_TRACT,Resistance
Nilotinib,639V_URINARY_TRACT,Resistance
Nilotinib,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,769P_KIDNEY,Resistance
Nilotinib,786O_KIDNEY,Resistance
Nilotinib,8305C_THYROID,Resistance
Nilotinib,8505C_THYROID,Resistance
Nilotinib,A172_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,A204_SOFT_TISSUE,Resistance
Nilotinib,A2058_SKIN,Resistance
Nilotinib,A253_SALIVARY_GLAND,Resistance
Nilotinib,A2780_OVARY,Resistance
Nilotinib,A375_SKIN,Resistance
Nilotinib,A549_LUNG,Resistance
Nilotinib,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity
Nilotinib,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,AN3CA_ENDOMETRIUM,Resistance
Nilotinib,ASPC1_PANCREAS,Resistance
Nilotinib,AU565_BREAST,Resistance
Nilotinib,AZ521_STOMACH,Resistance
Nilotinib,BCPAP_THYROID,Resistance
Nilotinib,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,BFTC909_KIDNEY,Resistance
Nilotinib,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,BT20_BREAST,Resistance
Nilotinib,BT474_BREAST,Resistance
Nilotinib,BT549_BREAST,Resistance
Nilotinib,C2BBE1_LARGE_INTESTINE,Resistance
Nilotinib,C32_SKIN,Resistance
Nilotinib,CAKI2_KIDNEY,Resistance
Nilotinib,CAL78_BONE,Resistance
Nilotinib,CAL851_BREAST,Resistance
Nilotinib,CALU1_LUNG,Resistance
Nilotinib,CALU3_LUNG,Resistance
Nilotinib,CAMA1_BREAST,Resistance
Nilotinib,CAPAN2_PANCREAS,Sensitivity
Nilotinib,CAS1_CENTRAL_NERVOUS_SYSTEM,Resistance
Nilotinib,CHL1_SKIN,Resistance
Nilotinib,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance
Nilotinib,COLO201_LARGE_INTESTINE,Resistance
Nilotinib,COLO205_LARGE_INTESTINE,Resistance
Nilotinib,COLO320_LARGE_INTESTINE,Resistance
